,base_market,quote_market,hedge_ratio,half_life
0,XTZ-USD,ENJ-USD,2.532391418521396,14.0
1,XTZ-USD,SUSHI-USD,0.9034238029887776,15.0
2,ICP-USD,ZEC-USD,0.13995163772240427,7.0
3,ICP-USD,CELO-USD,8.047195487971502,11.0
4,ICP-USD,ENJ-USD,12.986973130084976,18.0
5,ICP-USD,RUNE-USD,3.787834495348224,20.0
6,ICP-USD,COMP-USD,0.12118452201354515,21.0
7,ICP-USD,NEAR-USD,2.672978061837474,7.0
8,ICP-USD,ALGO-USD,24.59121913689801,12.0
9,ICP-USD,SUSHI-USD,4.636493785107136,19.0
10,ICP-USD,ADA-USD,16.913432967202915,22.0
11,ICP-USD,BTC-USD,0.0002616901813905896,13.0
12,ICP-USD,DOT-USD,0.9345807150341653,11.0
13,ICP-USD,SOL-USD,0.2701056602053147,19.0
14,ICP-USD,MATIC-USD,4.87028111274036,2.0
15,ICP-USD,1INCH-USD,10.670627003486764,14.0
16,ICP-USD,AVAX-USD,0.3393988064148262,4.0
17,ETC-USD,BCH-USD,0.1583943333108251,4.0
18,ETC-USD,COMP-USD,0.41644123321850696,14.0
19,ETC-USD,UMA-USD,9.592112199586255,5.0
20,ETC-USD,SOL-USD,0.9282217156323432,20.0
21,ETC-USD,AAVE-USD,0.2598864304654173,11.0
22,ZEC-USD,COMP-USD,0.8657998465142436,16.0
23,ZEC-USD,NEAR-USD,19.09528654849,7.0
24,ZEC-USD,ALGO-USD,175.70556348667333,13.0
25,ZEC-USD,SUSHI-USD,33.12840008254817,17.0
26,ZEC-USD,MATIC-USD,34.78706557140397,2.0
27,ZEC-USD,1INCH-USD,76.25873366408146,17.0
28,ZEC-USD,AVAX-USD,2.424468890778787,4.0
29,LINK-USD,ENJ-USD,15.58739662617281,20.0
30,LINK-USD,SUSHI-USD,5.563821081369183,12.0
31,ATOM-USD,BCH-USD,0.09403668669353155,13.0
32,ATOM-USD,CELO-USD,16.3816381684288,20.0
33,ATOM-USD,ENJ-USD,26.501405127465162,14.0
34,ATOM-USD,RUNE-USD,7.726451875216415,15.0
35,ATOM-USD,FIL-USD,1.8197464531483343,10.0
36,ATOM-USD,ZRX-USD,47.85648121116137,12.0
37,ATOM-USD,TRX-USD,181.7002321481692,12.0
38,ATOM-USD,YFI-USD,0.001313219831209717,21.0
39,ATOM-USD,COMP-USD,0.24703086381256345,16.0
40,ATOM-USD,XLM-USD,142.65757140342743,12.0
41,ATOM-USD,EOS-USD,10.493192686312481,18.0
42,ATOM-USD,NEAR-USD,5.440823099311409,20.0
43,ATOM-USD,ALGO-USD,50.13598757132071,16.0
44,ATOM-USD,XMR-USD,0.08197934304191407,15.0
45,ATOM-USD,SUSHI-USD,9.454471864007107,15.0
46,ATOM-USD,ADA-USD,34.50123581539268,15.0
47,ATOM-USD,UMA-USD,5.703431753540048,7.0
48,ATOM-USD,BTC-USD,0.0005347330954404085,7.0
49,ATOM-USD,DOT-USD,1.9042893012517648,18.0
50,ATOM-USD,CRV-USD,12.165152477016992,20.0
51,ATOM-USD,SOL-USD,0.5505021327186945,17.0
52,ATOM-USD,DOGE-USD,155.90952739831556,10.0
53,ATOM-USD,LTC-USD,0.13488771743836983,11.0
54,ATOM-USD,AAVE-USD,0.1542337198391986,15.0
55,ATOM-USD,UNI-USD,1.884446587442995,15.0
56,ATOM-USD,MATIC-USD,9.915199882686341,9.0
57,ATOM-USD,1INCH-USD,21.78606079857549,12.0
58,ATOM-USD,AVAX-USD,0.6916090863075167,11.0
59,ATOM-USD,ETH-USD,0.007729955231565163,13.0
60,BCH-USD,RUNE-USD,82.20332003554104,12.0
61,BCH-USD,COMP-USD,2.6288492256531715,10.0
62,BCH-USD,XLM-USD,1516.0989900650493,13.0
63,BCH-USD,ALGO-USD,533.3506347817213,22.0
64,BCH-USD,ADA-USD,367.02794760135043,10.0
65,BCH-USD,DOT-USD,20.264093611233797,23.0
66,BCH-USD,SOL-USD,5.859333540122482,17.0
67,BCH-USD,AAVE-USD,1.6405805416860537,7.0
68,BCH-USD,MATIC-USD,105.59306003987983,2.0
69,BCH-USD,1INCH-USD,231.54195201878738,15.0
70,BCH-USD,AVAX-USD,7.359989733001125,4.0
71,CELO-USD,COMP-USD,0.015056370341442924,17.0
72,CELO-USD,NEAR-USD,0.332065447941183,7.0
73,CELO-USD,MATIC-USD,0.6049354459961669,2.0
74,CELO-USD,1INCH-USD,1.3257657319543497,23.0
75,CELO-USD,AVAX-USD,0.04214990826582411,5.0
76,ENJ-USD,SUSHI-USD,0.3567190398294974,9.0
77,ENJ-USD,UMA-USD,0.214646304908911,9.0
78,ENJ-USD,MATIC-USD,0.37444362583238355,3.0
79,ENJ-USD,1INCH-USD,0.8209377977917367,18.0
80,ENJ-USD,AVAX-USD,0.026099442682018435,5.0
81,RUNE-USD,COMP-USD,0.031978802044092904,6.0
82,RUNE-USD,NEAR-USD,0.7049902549286298,22.0
83,RUNE-USD,SUSHI-USD,1.2236827399473023,7.0
84,RUNE-USD,DOT-USD,0.24653358149866622,16.0
85,RUNE-USD,MATIC-USD,1.2847848073398067,2.0
86,FIL-USD,ZRX-USD,25.64994797790136,10.0
87,FIL-USD,TRX-USD,97.25558275912795,12.0
88,FIL-USD,YFI-USD,0.000701667270591341,16.0
89,FIL-USD,COMP-USD,0.13239745767088076,12.0
90,FIL-USD,XLM-USD,76.35428634048047,12.0
91,FIL-USD,EOS-USD,5.615234789556693,14.0
92,FIL-USD,NEAR-USD,2.9203968216660443,12.0
93,FIL-USD,ALGO-USD,26.86656131356392,12.0
94,FIL-USD,XMR-USD,0.04391407150369346,12.0
95,FIL-USD,SUSHI-USD,5.0732029014140965,11.0
96,FIL-USD,ADA-USD,18.492070281501178,11.0
97,FIL-USD,UMA-USD,3.0563756619019617,9.0
98,FIL-USD,BTC-USD,0.0002864948347521861,10.0
99,FIL-USD,DOT-USD,1.0214490599427153,12.0
100,FIL-USD,CRV-USD,6.5232245175367805,13.0
101,FIL-USD,SOL-USD,0.2948856372083329,12.0
102,FIL-USD,DOGE-USD,85.51416138382847,5.0
103,FIL-USD,LTC-USD,0.07230413612149365,11.0
104,FIL-USD,AAVE-USD,0.08266031375449366,12.0
105,FIL-USD,UNI-USD,1.0101346015897967,11.0
106,FIL-USD,MATIC-USD,5.321551448590538,9.0
107,FIL-USD,1INCH-USD,11.66734267494976,12.0
108,FIL-USD,AVAX-USD,0.37086994526682054,11.0
109,FIL-USD,ETH-USD,0.0041396608897685955,11.0
110,ZRX-USD,LTC-USD,0.002813926617494588,12.0
111,TRX-USD,BTC-USD,2.943821727804639e-06,2.0
112,TRX-USD,MATIC-USD,0.054586640494100155,6.0
113,TRX-USD,AVAX-USD,0.0038034104491094264,12.0
114,TRX-USD,ETH-USD,4.253707399221557e-05,5.0
115,COMP-USD,NEAR-USD,22.044999563227393,10.0
116,COMP-USD,ADA-USD,139.58045435671568,5.0
117,COMP-USD,BTC-USD,0.002161464642093259,5.0
118,COMP-USD,DOT-USD,7.70877100193404,10.0
119,COMP-USD,SOL-USD,2.2287737419453992,5.0
120,COMP-USD,AAVE-USD,0.6238609894285672,15.0
121,COMP-USD,MATIC-USD,40.172872196230216,2.0
122,COMP-USD,1INCH-USD,88.04474547196278,14.0
123,COMP-USD,AVAX-USD,2.799519232938768,4.0
124,XLM-USD,UMA-USD,0.03993582505878504,6.0
125,XLM-USD,AAVE-USD,0.001081756288783565,17.0
126,XLM-USD,UNI-USD,0.013216439801428056,21.0
127,NEAR-USD,ALGO-USD,9.200387838227353,8.0
128,NEAR-USD,SUSHI-USD,1.734702165318914,15.0
129,NEAR-USD,ADA-USD,6.328683377288467,21.0
130,NEAR-USD,DOT-USD,0.34961353542741636,7.0
131,NEAR-USD,SOL-USD,0.1010648375075009,10.0
132,NEAR-USD,MATIC-USD,1.8219221669268422,2.0
133,NEAR-USD,1INCH-USD,3.992378354416557,17.0
134,NEAR-USD,AVAX-USD,0.12695632637114246,4.0
135,ALGO-USD,SUSHI-USD,0.18853838677171586,10.0
136,ALGO-USD,UMA-USD,0.11344194629654092,10.0
137,ALGO-USD,MATIC-USD,0.19797873832765428,2.0
138,ALGO-USD,1INCH-USD,0.4340305174958409,10.0
139,XMR-USD,BTC-USD,0.006520092766206834,2.0
140,SUSHI-USD,ADA-USD,3.647113501000449,10.0
141,SUSHI-USD,DOT-USD,0.20142358453184916,12.0
142,SUSHI-USD,AAVE-USD,0.016301487933620847,13.0
143,SUSHI-USD,MATIC-USD,1.049656052964623,2.0
144,SUSHI-USD,1INCH-USD,2.3010457416844323,12.0
145,SUSHI-USD,AVAX-USD,0.0731587540661246,3.0
146,ADA-USD,UMA-USD,0.1649122759631032,8.0
147,ADA-USD,DOT-USD,0.055220927308003674,14.0
148,ADA-USD,AAVE-USD,0.00446932873975259,8.0
149,ADA-USD,MATIC-USD,0.28777047806305606,2.0
150,ADA-USD,1INCH-USD,0.6307353244179321,15.0
151,ADA-USD,AVAX-USD,0.02005427086777589,4.0
152,UMA-USD,DOT-USD,0.33426383602073295,12.0
153,UMA-USD,1INCH-USD,3.8213531325413106,7.0
154,UMA-USD,AVAX-USD,0.12142890290197723,5.0
155,BTC-USD,DOT-USD,3559.773038697627,7.0
156,BTC-USD,CRV-USD,22763.337412849934,7.0
157,BTC-USD,SOL-USD,1029.4422580923501,6.0
158,BTC-USD,AAVE-USD,288.3243468839945,2.0
159,BTC-USD,UNI-USD,3523.0870559710347,2.0
160,BTC-USD,AVAX-USD,1292.784548403322,5.0
161,DOT-USD,SOL-USD,0.2890608482703171,11.0
162,DOT-USD,MATIC-USD,5.211019042958994,1.0
163,DOT-USD,1INCH-USD,11.419945518246614,14.0
164,DOT-USD,AVAX-USD,0.3631624139745927,3.0
165,CRV-USD,MATIC-USD,0.8146455889437858,2.0
166,CRV-USD,AVAX-USD,0.05676005045250214,5.0
167,SOL-USD,AAVE-USD,0.27986484979254966,19.0
168,SOL-USD,MATIC-USD,18.0225911752635,2.0
169,SOL-USD,1INCH-USD,39.494019888262144,16.0
170,DOGE-USD,LTC-USD,0.000837482503789912,8.0
171,DOGE-USD,AAVE-USD,0.0009554323107242692,10.0
172,DOGE-USD,UNI-USD,0.011685267551737818,10.0
173,DOGE-USD,MATIC-USD,0.061471073377382925,11.0
174,DOGE-USD,1INCH-USD,0.13468789057973266,11.0
175,DOGE-USD,AVAX-USD,0.004280175842836846,11.0
176,DOGE-USD,ETH-USD,4.7947583584888e-05,9.0
177,LTC-USD,MATIC-USD,73.54783731993092,6.0
178,AAVE-USD,MATIC-USD,64.36919393679838,2.0
179,AAVE-USD,1INCH-USD,141.0741395010544,24.0
180,AAVE-USD,AVAX-USD,4.485399288214701,5.0
181,UNI-USD,MATIC-USD,5.266312803678357,3.0
182,UNI-USD,AVAX-USD,0.3669315793939416,7.0
183,MATIC-USD,1INCH-USD,2.1887642364773328,3.0
184,MATIC-USD,AVAX-USD,0.06966018355015371,2.0
185,MATIC-USD,ETH-USD,0.0007756225756668379,5.0
186,1INCH-USD,AVAX-USD,0.03177985045114424,3.0
187,AVAX-USD,ETH-USD,0.011125664514494893,11.0
